"HEADING","ABBR_HDNG","ABBR_CODE","ABBR_DESC","ABBR_LIST","ABBR_REM","FILE_FSET"
"UNIT","","","","","",""
"TYPE","X","X","X","X","X","X"
"DATA","ARTW_TYPE","DRY","Dry test","4.1","",""
"DATA","ARTW_TYPE","WET","Wet test","4.1","",""
"DATA","BKFL_LEG","901","Sand backfill","4.1","",""
"DATA","BKFL_LEG","902","Gravel backfill","4.1","",""
"DATA","BKFL_LEG","903","Bentonite","4.1","",""
"DATA","BKFL_LEG","904","Grout","4.1","",""
"DATA","BKFL_LEG","905","Arisings","4.1","",""
"DATA","BKFL_LEG","906","Concrete","4.1","",""
"DATA","BKFL_LEG","907","Asphalt","4.1","",""
"DATA","BKFL_LEG","908","Ballast","4.1","",""
"DATA","BKFL_LEG","909","Upstanding cover","4.1","",""
"DATA","BKFL_LEG","910","Flush cover","4.1","",""
"DATA","BKFL_LEG","912","Paving slab","4.1","",""
"DATA","BKFL_LEG","913","Timber","4.1","",""
"DATA","BKFL_LEG","914","Mortar","4.1","",""
"DATA","BKFL_LEG","999","Void","4.1","",""
"DATA","CBRG_COND","REMOULDED","Remoulded","4.1","",""
"DATA","CBRG_COND","UNDISTURBED","Undisturbed","4.1","",""
"DATA","CMPG_MOLD","1 LITRE","1 Litre mould type","4.1","",""
"DATA","CMPG_MOLD","CBR","CBR Mould type","4.1","",""
"DATA","CMPG_TYPE","2.5KG","2.5kg","4.1","",""
"DATA","CMPG_TYPE","4.5KG","4.5kg Heavy compaction","4.1","",""
"DATA","CMPG_TYPE","VIBRO","Vibro compaction","4.1","",""
"DATA","CONG_COND","REMOULDED","Remoulded","4.1","",""
"DATA","CONG_COND","UNDISTURBED","Undisturbed","4.1","",""
"DATA","CONG_TYPE","EXPANDABILITY","Expandability","4.1","",""
"DATA","CONG_TYPE","HYDRAULIC CELL","Hydraulic cell","4.1","",""
"DATA","CONG_TYPE","OEDOMETER","Oedometer","4.1","",""
"DATA","CONG_TYPE","SETTLESAT","Settlement on saturation","4.1","",""
"DATA","CONG_TYPE","SWELL","Measurement of swelling","4.1","",""
"DATA","CONG_TYPE","SWELLPRESS","Measurement of swelling pressure","4.1","",""
"DATA","CTRC_BEAX","Sv","Axial shear-wave propagation","4.1","",""
"DATA","CTRC_BEAX","hh","horizontally propagating, horizontally orientated","4.1","",""
"DATA","CTRC_BEAX","hv","horizontally propagating, vertically orientated","4.1","",""
"DATA","CTRC_BEAX","vh","vertically propagating, horizontally orientated","4.1","",""
"DATA","CTRC_TYPE","ISOTROPIC","Isotropic","4.1","",""
"DATA","CTRC_TYPE","K0","K0","4.1","",""
"DATA","CTRC_TYPE","STRESS","Stress path","4.1","",""
"DATA","CTRD_COND","DRAINED","Drained","4.1","",""
"DATA","CTRD_COND","UNDRAINED","Undrained","4.1","",""
"DATA","CTRG_TYPE","CADC","Consolidated Anisotropically Drained Cyclic Test","4.1","",""
"DATA","CTRG_TYPE","CAUC","Consolidated Anisotropically Undrained Cyclic Test","4.1","",""
"DATA","CTRG_TYPE","CIDC","Consolidated Isotropically Drained Cyclic Test","4.1","",""
"DATA","CTRG_TYPE","CIUC","Consolidated Isotropically Undrained Cyclic Test","4.1","",""
"DATA","DICT_DTYP","0DP","Value; required number of decimal places, 0","4.1","",""
"DATA","DICT_DTYP","0SCI","Scientific Notation; required number of decimal places, 0","4.1","",""
"DATA","DICT_DTYP","1DP","Value; required number of decimal places, 1","4.1","",""
"DATA","DICT_DTYP","1SCI","Scientific Notation; required number of decimal places, 1","4.1","",""
"DATA","DICT_DTYP","1SF","Value; required number of significant figures, 1","4.1","",""
"DATA","DICT_DTYP","2DP","Value; required number of decimal places, 2","4.1","",""
"DATA","DICT_DTYP","2SCI","Scientific Notation; required number of decimal places, 2","4.1","",""
"DATA","DICT_DTYP","2SF","Value; required number of significant figures, 2","4.1","",""
"DATA","DICT_DTYP","3DP","Value; required number of decimal places, 3","4.1","",""
"DATA","DICT_DTYP","3SCI","Scientific Notation; required number of decimal places, 3","4.1","",""
"DATA","DICT_DTYP","3SF","Value; required number of significant figures, 3","4.1","",""
"DATA","DICT_DTYP","4DP","Value; required number of decimal places, 4","4.1","",""
"DATA","DICT_DTYP","4SCI","Scientific Notation; required number of decimal places, 4","4.1","",""
"DATA","DICT_DTYP","4SF","Value; required number of significant figures, 4","4.1","",""
"DATA","DICT_DTYP","DMS","Degrees:Minutes:Seconds","4.1","",""
"DATA","DICT_DTYP","DT","Date time in international format","4.1","",""
"DATA","DICT_DTYP","ID","Unique Identifier","4.1","",""
"DATA","DICT_DTYP","MC","British Standard BS1377 : Part 2 reported moisture content","4.1","",""
"DATA","DICT_DTYP","PA","Text listed in ABBR Group","4.1","",""
"DATA","DICT_DTYP","PT","Text listed in TYPE Group","4.1","",""
"DATA","DICT_DTYP","PU","Text listed in UNIT Group","4.1","",""
"DATA","DICT_DTYP","RL","Record link","4.1","",""
"DATA","DICT_DTYP","T","Elapsed time","4.1","",""
"DATA","DICT_DTYP","U","Value with variable format","4.1","",""
"DATA","DICT_DTYP","X","Text","4.1","",""
"DATA","DICT_DTYP","XN","Text / numeric","4.1","",""
"DATA","DICT_DTYP","YN","Y or N or NULL","4.1","",""
"DATA","DICT_STAT","KEY","Key field","4.1","",""
"DATA","DICT_STAT","OTHER","Other field","4.1","",""
"DATA","DICT_STAT","REQUIRED","Required field","4.1","",""
"DATA","DICT_TYPE","GROUP","Flag to indicate definition is a GROUP","4.1","",""
"DATA","DICT_TYPE","HEADING","Flag to indicate definition is a HEADING","4.1","",""
"DATA","DISC_TERM","D","Terminates against another discontinuity","4.1","",""
"DATA","DISC_TERM","R","Terminates within rock","4.1","",""
"DATA","DISC_TERM","X","Extends beyond exposure","4.1","",""
"DATA","DISC_TYPE","Joint","Joint","4.1","",""
"DATA","DPRG_TYPE","DPH","Heavy dynamic probe (50kg hammer mass/500mm drop)","4.1","",""
"DATA","DPRG_TYPE","DPL","Light dynamic probe (10kg hammer mass/500mm drop)","4.1","",""
"DATA","DPRG_TYPE","DPM","Medium dynamic probe (30kg hammer mass/500mm drop)","4.1","",""
"DATA","DPRG_TYPE","DPSH-A","Superheavy dynamic probe (63.5kg hammer mass/500mm drop)","4.1","",""
"DATA","DPRG_TYPE","DPSH-B","Superheavy (63.5kg hammer mass/750mm drop)","4.1","",""
"DATA","ERES_BAS","AIRDRIED","Air Dried Basis","4.0","",""
"DATA","ELRG_BAS","AIR","Air dried","4.1","",""
"DATA","ELRG_BAS","DRY","Dry","4.1","",""
"DATA","ELRG_BAS","WET","Wet","4.1","",""
"DATA","ERES_LOCN","FIELDLAB","Analysis location - field laboratory","4.0","25/05/2010",""
"DATA","ERES_LOCN","LAB","Analysis location - laboratory","4.0","25/05/2010",""
"DATA","ERES_LOCN","SITE","Analysis location - site","4.0","25/05/2010",""
"DATA","ELRG_LOCN","FIELDLAB","Analysis location - field laboratory","4.1","",""
"DATA","ELRG_LOCN","LAB","Analysis location - Laboratory","4.1","",""
"DATA","ELRG_LOCN","SITE","Analysis location - site","4.1","",""
"DATA","ERES_MATX","AUS_ACE_PH5","Australian (Acetate pH 5.0) Leachate","4.0","",""
"DATA","ERES_MATX","AUS_ACE_PH5_29","Australian (Acetate pH 5.0/2.9) Leachate","4.0","",""
"DATA","ERES_MATX","AUS_RW","Australian (Reagent Water) Leachate","4.0","",""
"DATA","ERES_MATX","AUS_TET_PH92","Australian (Tetraborate pH 9.2) Leachate","4.0","",""
"DATA","ERES_MATX","CEN_10_1_1STAGE_MGKG","CEN 10-1 (1 Stage) Leachate (mg/kg)","4.0","",""
"DATA","ERES_MATX","CEN_10_1_1STAGE_MGL","CEN 10-1 (1 Stage) Leachate (mg/l)","4.0","",""
"DATA","ERES_MATX","CEN_10_1_2STAGE_MGKG","CEN 10-1 (2 Stage) Leachate (mg/kg)","4.0","",""
"DATA","ERES_MATX","CEN_2_1_1STAGE_MGKG","CEN 2-1 (1 Stage) Leachate (mg/kg)","4.0","",""
"DATA","ERES_MATX","CEN_2_1_1STAGE_MGL","CEN 2-1 (1 Stage) Leachate (mg/l)","4.0","",""
"DATA","ERES_MATX","CEN_2_1_2STAGE_MGKG","CEN 2-1 (2 Stage) Leachate (mg/kg)","4.0","",""
"DATA","ERES_MATX","CEN_2_1_2STAGE_MGL","CEN 2-1 (2 Stage) Leachate (mg/l)","4.0","",""
"DATA","ERES_MATX","CEN_8_1_2STAGE_MGL","CEN 8-1 (2 Stage) Leachate (mg/l)","4.0","",""
"DATA","ERES_MATX","GAS","Gas","4.0","",""
"DATA","ERES_MATX","LIQUID","Liquid","4.0","",""
"DATA","ERES_MATX","NRA","NRA Leachate","4.0","",""
"DATA","ERES_MATX","PRODUCT","Product","4.0","",""
"DATA","ERES_MATX","SOLID","Solid","4.0","",""
"DATA","ERES_MATX","SPLP","SPLP Leachate","4.0","",""
"DATA","ERES_MATX","TCLP","TCLP Leachate","4.0","",""
"DATA","ELRG_MATX","LIQUID","Liquid","4.1","",""
"DATA","ELRG_MATX","PRODUCT","Product","4.1","",""
"DATA","ELRG_MATX","SOLID","Solid","4.1","",""
"DATA","ERES_RTCD","IC","Spiked compound","4.0","",""
"DATA","ERES_RTCD","IS","Internal Standards","4.0","",""
"DATA","ERES_RTCD","SUR","Surrogate","4.0","",""
"DATA","ERES_RTCD","TIC","Tentatively identified compound","4.0","",""
"DATA","ERES_RTCD","TRG","Target","4.0","",""
"DATA","ELRG_RTCD","IC","Spiked compound","4.1","",""
"DATA","ELRG_RTCD","IS","Internal standards","4.1","",""
"DATA","ELRG_RTCD","SUR","Surrogate","4.1","",""
"DATA","ELRG_RTCD","TIC","Tentatively identified compound","4.1","",""
"DATA","ELRG_RTCD","TRG","Target","4.1","",""
"DATA","ERES_RTYP","INITIAL","Initial","4.0","",""
"DATA","ERES_RTYP","REANALYSIS","Reanalysis","4.0","",""
"DATA","ERES_RTYP","REANALYSIS2","2nd reanalysis","4.0","",""
"DATA","ERES_RTYP","REANALYSIS3","3rd Reanalysis","4.0","",""
"DATA","ERES_RTYP","REANALYSIS4","4th Reanalysis","4.0","",""
"DATA","ELRG_RTYP","INITIAL","Initial","4.1","",""
"DATA","ELRG_RTYP","REANALYSIS","Reanalysis","4.1","",""
"DATA","ELRG_RTYP","REANALYSIS2","2nd reanalysis","4.1","",""
"DATA","ELRG_TADE","CEN_10_1","CEN 10-1","4.1","",""
"DATA","ELRG_TADE","CEN_2_1","CEN 2-1","4.1","",""
"DATA","ELRG_TADE","NRA","National Rivers Authority","4.1","",""
"DATA","ESCG_COND","REMOULDED","Remoulded","4.1","",""
"DATA","ESCG_COND","UNDISTURBED","Undisturbed","4.1","",""
"DATA","ESCG_TYPE","CD","Consolidated Drained","4.1","",""
"DATA","ESCG_TYPE","CDM","Consolidated Drained Multistage","4.1","",""
"DATA","ESCG_TYPE","CU","Consolidated Undrained","4.1","",""
"DATA","ESCG_TYPE","CUM","Consolidated Undrained Multistage","4.1","",""
"DATA","FGHG_CNFG","BH","Test in borehole","4.1","",""
"DATA","FGHG_CNFG","PKD","Borehole test using double packer","4.1","",""
"DATA","FGHG_CNFG","PKS","Borehole test using single packer","4.1","",""
"DATA","FGHG_CNFG","PKSD","Double Instrumented Packer","4.1","",""
"DATA","FGHG_CNFG","PKSI","Single Instrumented Packer","4.1","",""
"DATA","FGHG_CNFG","SP","Test in standpipe","4.1","",""
"DATA","FGHG_CNFG","SPIE","Standpipe Piezometer","4.1","",""
"DATA","FGHG_FTYP","Dilation","Dilation","4.1","",""
"DATA","FGHG_FTYP","Filling","Filling","4.1","",""
"DATA","FGHG_FTYP","Hydraulic fracture","Hydraulic fracture","4.1","",""
"DATA","FGHG_FTYP","Laminar","Laminar","4.1","",""
"DATA","FGHG_FTYP","Progressive scour","Progressive scour","4.1","",""
"DATA","FGHG_FTYP","Turbulent","Turbulent","4.1","",""
"DATA","FGHG_FTYP","Void-filling","Void-filling","4.1","",""
"DATA","FGHG_FTYP","Wash-out","Wash-out","4.1","",""
"DATA","FGHG_TYPE","CONSTANT FLOW RATE","Constant Flow Rate Test","4.1","",""
"DATA","FGHG_TYPE","CONSTANT HEAD","Constant Head","4.1","",""
"DATA","FGHG_TYPE","CONSTANT HEAD (NEGATIVE)","Constant Head Test with water abstraction","4.1","",""
"DATA","FGHG_TYPE","CONSTANT HEAD (POSITIVE)","Constant Head Test with water injection","4.1","",""
"DATA","FGHG_TYPE","FALLING HEAD","Falling Head","4.1","",""
"DATA","FGHG_TYPE","RISING HEAD","Rising Head","4.1","",""
"DATA","FGHG_TYPE","WATER PRESSURE","Water Pressure Test","4.1","",""
"DATA","FGHT_TYPE","FLWR","Instantaneous flow rate at time FGHT_TIME","4.1","",""
"DATA","FILE_DOCT","CAL","Calibration data","4.1","",""
"DATA","FILE_DOCT","CR","Construction record","4.1","",""
"DATA","FILE_DOCT","DRAW","Drawing","4.1","",""
"DATA","FILE_DOCT","GEN","General","4.1","",""
"DATA","FILE_DOCT","MS","Method statement","4.1","",""
"DATA","FILE_DOCT","PH","Photograph","4.1","",""
"DATA","FILE_DOCT","RAW","Raw data","4.1","",""
"DATA","FILE_DOCT","REP","Report","4.1","",""
"DATA","FILE_DOCT","TECH","Technical paper","4.1","",""
"DATA","FILE_DOCT","VI","Video clip","4.1","",""
"DATA","FILE_TYPE","BMP","Bitmap image file","4.1","",""
"DATA","FILE_TYPE","JPG","Joint Photographic Experts Group graphics/image file","4.1","",""
"DATA","FILE_TYPE","PDF","Portable Document Format","4.1","",""
"DATA","FLSH_TYPE","Water","Water","4.1","",""
"DATA","FRST_COND","RECOMPACTION","Recompacted","4.1","",""
"DATA","FRST_COND","UNDISTURBED","Undisturbed","4.1","",""
"DATA","GCHM_CODE","ACO2","Aggressive carbon dioxide (as mg/l)","4.1","",""
"DATA","GCHM_CODE","AS","Acid-soluble sulphate (as % SO4)","4.1","",""
"DATA","GCHM_CODE","AS_SO3","Acid-soluble sulphate (as % SO3)","4.1","",""
"DATA","GCHM_CODE","CACO3","Chalk content (as %CaCO3)","4.1","",""
"DATA","GCHM_CODE","CL","Chloride (as mg/l)","4.1","",""
"DATA","GCHM_CODE","CO2","Carbonate content (as %CO2)","4.1","",""
"DATA","GCHM_CODE","GWS","Groundwater sulfate","4.1","",""
"DATA","GCHM_CODE","LOI","Loss on ignition (as %)","4.1","",""
"DATA","GCHM_CODE","MSC","Monosulfide sulfur content","4.1","",""
"DATA","GCHM_CODE","NH4","Ammonium ion (as mg/l)","4.1","",""
"DATA","GCHM_CODE","NO3","Nitrate (as mg/l)","4.1","",""
"DATA","GCHM_CODE","OGM","Organic matter content (as %)","4.1","",""
"DATA","GCHM_CODE","OS","Oxidisable Sulphide","4.1","",""
"DATA","GCHM_CODE","PH","Acidity/alkalinity (pH to nearest 0.1)","4.1","",""
"DATA","GCHM_CODE","REDOX","Redox potential (in mV)","4.1","",""
"DATA","GCHM_CODE","SO3","Sulphate as SO3","4.1","",""
"DATA","GCHM_CODE","SO4","Sulphate as SO4","4.1","",""
"DATA","GCHM_CODE","TDS","Total dissolved solids (in mg/l to 2SF)","4.1","",""
"DATA","GCHM_CODE","TIC","Total inorganic carbon","4.1","",""
"DATA","GCHM_CODE","TOC","Total organic carbon","4.1","",""
"DATA","GCHM_CODE","TPS","Total potential sulfate","4.1","",""
"DATA","GCHM_CODE","TRS","Total reduced sulfur","4.1","",""
"DATA","GCHM_CODE","TS","Total sulphur (as %S)","4.1","",""
"DATA","GCHM_CODE","WCL","Water soluble chloride (as mg/l)","4.1","",""
"DATA","GCHM_CODE","WMG","Water/soil extract Magnesium (as m/g)","4.1","",""
"DATA","GCHM_CODE","WS","Water-soluble sulphate (as mg/l SO4)","4.1","",""
"DATA","GCHM_CODE","WS_SO3","Water-soluble sulphate (as g/l SO3)","4.1","",""
"DATA","GCHM_TTYP","SOLID_21 WATER EXTRACT","Solid (2:1 Soil/Water extract)","4.1","",""
"DATA","GCHM_TTYP","SOLID_ACID EXTRACT","Solid (Acid extract)","4.1","",""
"DATA","GCHM_TTYP","SOLID_TOTAL","Solid (Total)","4.1","",""
"DATA","GCHM_TTYP","WATER","Water","4.1","",""
"DATA","GEOL_LEG","101","TOPSOIL","4.1","",""
"DATA","GEOL_LEG","102","MADE GROUND","4.1","",""
"DATA","GEOL_LEG","103","Bituminous Material","4.1","",""
"DATA","GEOL_LEG","104","CONCRETE","4.1","",""
"DATA","GEOL_LEG","105","Wood","4.1","",""
"DATA","GEOL_LEG","108","Brickwork","4.1","",""
"DATA","GEOL_LEG","201","CLAY","4.1","",""
"DATA","GEOL_LEG","202","Silty CLAY","4.1","",""
"DATA","GEOL_LEG","203","Sandy CLAY","4.1","",""
"DATA","GEOL_LEG","204","Gravelly CLAY","4.1","",""
"DATA","GEOL_LEG","205","Cobbly CLAY","4.1","",""
"DATA","GEOL_LEG","206","Bouldery CLAY","4.1","",""
"DATA","GEOL_LEG","207","Silty sandy CLAY","4.1","",""
"DATA","GEOL_LEG","208","Silty gravelly CLAY","4.1","",""
"DATA","GEOL_LEG","209","Silty cobbly CLAY","4.1","",""
"DATA","GEOL_LEG","210","Silty bouldery CLAY","4.1","",""
"DATA","GEOL_LEG","211","Silty sandy gravelly CLAY","4.1","",""
"DATA","GEOL_LEG","212","Silty sandy cobbly CLAY","4.1","",""
"DATA","GEOL_LEG","213","Silty sandy bouldery CLAY","4.1","",""
"DATA","GEOL_LEG","214","Silty sandy gravelly cobbly CLAY","4.1","",""
"DATA","GEOL_LEG","215","Silty sandy gravelly bouldery CLAY","4.1","",""
"DATA","GEOL_LEG","216","Silty sandy gravelly cobbly bouldery CLAY","4.1","",""
"DATA","GEOL_LEG","217","Silty sandy organic CLAY","4.1","",""
"DATA","GEOL_LEG","218","Silty sandy gravelly organic CLAY","4.1","",""
"DATA","GEOL_LEG","219","Silty organic CLAY","4.1","",""
"DATA","GEOL_LEG","220","Sandy gravelly CLAY","4.1","",""
"DATA","GEOL_LEG","222","Sandy cobbly CLAY","4.1","",""
"DATA","GEOL_LEG","223","Sandy bouldery CLAY","4.1","",""
"DATA","GEOL_LEG","224","Sandy gravelly cobbly CLAY","4.1","",""
"DATA","GEOL_LEG","225","Sandy gravelly bouldery CLAY","4.1","",""
"DATA","GEOL_LEG","226","Sandy gravelly cobbly bouldery CLAY","4.1","",""
"DATA","GEOL_LEG","227","Sandy organic CLAY","4.1","",""
"DATA","GEOL_LEG","228","Sandy gravelly organic CLAY","4.1","",""
"DATA","GEOL_LEG","229","Organic CLAY","4.1","",""
"DATA","GEOL_LEG","230","Gravelly cobbly CLAY","4.1","",""
"DATA","GEOL_LEG","231","Silty gravelly cobbly CLAY","4.1","",""
"DATA","GEOL_LEG","301","SILT","4.1","",""
"DATA","GEOL_LEG","302","Clay/Silt","4.1","",""
"DATA","GEOL_LEG","303","Sandy SILT","4.1","",""
"DATA","GEOL_LEG","304","Gravelly SILT","4.1","",""
"DATA","GEOL_LEG","305","Organic SILT","4.1","",""
"DATA","GEOL_LEG","309","Clayey sandy SILT","4.1","",""
"DATA","GEOL_LEG","310","Sandy gravelly SILT","4.1","",""
"DATA","GEOL_LEG","312","Clayey sandy gravelly SILT","4.1","",""
"DATA","GEOL_LEG","314","Clayey sandy gravelly organic cobbly SILT","4.1","",""
"DATA","GEOL_LEG","316","Sandy cobbly SILT","4.1","",""
"DATA","GEOL_LEG","317","Sandy bouldery SILT","4.1","",""
"DATA","GEOL_LEG","318","Sandy organic SILT","4.1","",""
"DATA","GEOL_LEG","319","Sandy gravelly organic SILT","4.1","",""
"DATA","GEOL_LEG","320","Sandy gravelly cobbly SILT","4.1","",""
"DATA","GEOL_LEG","321","Sandy gravelly organic cobbly SILT","4.1","",""
"DATA","GEOL_LEG","322","Gravelly cobbly SILT","4.1","",""
"DATA","GEOL_LEG","323","Gravelly bouldery SILT","4.1","",""
"DATA","GEOL_LEG","324","Gravelly organic SILT","4.1","",""
"DATA","GEOL_LEG","325","Gravelly organic cobbly SILT","4.1","",""
"DATA","GEOL_LEG","326","Cobbly SILT","4.1","",""
"DATA","GEOL_LEG","327","Cobbly bouldery SILT","4.1","",""
"DATA","GEOL_LEG","328","Organic cobbly SILT","4.1","",""
"DATA","GEOL_LEG","331","Bouldery SILT","4.1","",""
"DATA","GEOL_LEG","332","Sandy gravelly clayey cobbly SILT","4.1","",""
"DATA","GEOL_LEG","401","SAND","4.1","",""
"DATA","GEOL_LEG","402","Clayey SAND","4.1","",""
"DATA","GEOL_LEG","403","Silty SAND","4.1","",""
"DATA","GEOL_LEG","404","Gravelly SAND","4.1","",""
"DATA","GEOL_LEG","405","Cobbly SAND","4.1","",""
"DATA","GEOL_LEG","406","Bouldery SAND","4.1","",""
"DATA","GEOL_LEG","410","Clayey gravelly SAND","4.1","",""
"DATA","GEOL_LEG","411","Clayey gravelly cobbly SAND","4.1","",""
"DATA","GEOL_LEG","412","Silty gravelly SAND","4.1","",""
"DATA","GEOL_LEG","413","Silty gravelly cobbly SAND","4.1","",""
"DATA","GEOL_LEG","414","Silty gravelly cobbly bouldery SAND","4.1","",""
"DATA","GEOL_LEG","415","Gravelly cobbly SAND","4.1","",""
"DATA","GEOL_LEG","416","Gravelly cobbly bouldery SAND","4.1","",""
"DATA","GEOL_LEG","417","Gravelly bouldery SAND","4.1","",""
"DATA","GEOL_LEG","418","Cobbly bouldery SAND","4.1","",""
"DATA","GEOL_LEG","419","Silty cobbly SAND","4.1","",""
"DATA","GEOL_LEG","430","SAND and GRAVEL","4.1","",""
"DATA","GEOL_LEG","431","Organic SAND","4.1","",""
"DATA","GEOL_LEG","433","Silty organic SAND","4.1","",""
"DATA","GEOL_LEG","434","Gravelly organic SAND","4.1","",""
"DATA","GEOL_LEG","435","Cobbly organic SAND","4.1","",""
"DATA","GEOL_LEG","436","Bouldery organic SAND","4.1","",""
"DATA","GEOL_LEG","501","GRAVEL","4.1","",""
"DATA","GEOL_LEG","502","Clayey GRAVEL","4.1","",""
"DATA","GEOL_LEG","503","Silty GRAVEL","4.1","",""
"DATA","GEOL_LEG","504","Sandy GRAVEL","4.1","",""
"DATA","GEOL_LEG","505","Organic GRAVEL","4.1","",""
"DATA","GEOL_LEG","506","Cobbly GRAVEL","4.1","",""
"DATA","GEOL_LEG","507","Bouldery GRAVEL","4.1","",""
"DATA","GEOL_LEG","509","Clayey sandy GRAVEL","4.1","",""
"DATA","GEOL_LEG","510","Clayey cobbly GRAVEL","4.1","",""
"DATA","GEOL_LEG","511","Clayey bouldery GRAVEL","4.1","",""
"DATA","GEOL_LEG","512","Clayey organic GRAVEL","4.1","",""
"DATA","GEOL_LEG","513","Clayey sandy cobbly GRAVEL","4.1","",""
"DATA","GEOL_LEG","517","Clayey sandy organic GRAVEL","4.1","",""
"DATA","GEOL_LEG","520","Silty sandy GRAVEL","4.1","",""
"DATA","GEOL_LEG","521","Silty cobbly GRAVEL","4.1","",""
"DATA","GEOL_LEG","522","Silty bouldery GRAVEL","4.1","",""
"DATA","GEOL_LEG","523","Silty organic GRAVEL","4.1","",""
"DATA","GEOL_LEG","524","Silty organic sandy GRAVEL","4.1","",""
"DATA","GEOL_LEG","525","Sandy cobbly GRAVEL","4.1","",""
"DATA","GEOL_LEG","526","Sandy bouldery GRAVEL","4.1","",""
"DATA","GEOL_LEG","527","Sandy organic GRAVEL","4.1","",""
"DATA","GEOL_LEG","528","Silty sandy cobbly GRAVEL","4.1","",""
